_idx area_ellipse area_exact dend_flux_band3 dend_flux_band6 detected_band3 detected_band6 major_fwhm minor_fwhm position_angle radius rejected snr_band3 snr_band6 x_cen y_cen
300 3.420526686342829e-10 1.2075617283952549e-09 0.0015476440634503293 "" 1 "" 3.0438193959029792e-05 1.4308417880254833e-05 144.41740539809717 8.86232196422321e-06 0 10.918384581322574 "" 290.9324641041156 14.505463207607606
301 2.0888631121410336e-10 7.677469135803696e-10 0.0011223453537276855 "" 1 "" 1.7531856781045947e-05 1.5170488961598865e-05 168.70960385573304 6.925577961275961e-06 0 13.576728316980665 "" 290.932251645595 14.50594006679758
302 1.2765706102995963e-10 5.131172839506994e-10 0.0009697445750791791 "" 1 "" 1.4998823164888106e-05 1.0836902580589704e-05 46.389067652876484 5.4140648445430586e-06 0 24.334614132328944 "" 290.9312747841587 14.506062497029822
303 2.2762706220609382e-10 1.003086419753247e-09 0.002322912046859824 "" 1 "" 1.7275301027077688e-05 1.6777057072347542e-05 -163.47013076216194 7.229578518672274e-06 0 32.437021641984934 "" 290.93235876480605 14.506201931099756
304 2.9208208725608655e-10 1.141975308642158e-09 0.0019920873133719348 "" 1 "" 2.0932527643574234e-05 1.7766454273143732e-05 -139.50638380121052 8.189426583702352e-06 0 10.055053025958726 "" 290.9324806942913 14.50621809701476
305 3.659537829261246e-10 1.3869598765434316e-09 0.0023715888530910383 "" 1 "" 2.2865138297950148e-05 2.0378392406509078e-05 122.5128632619309 9.166723941038081e-06 0 6.9012193389059915 "" 290.9324334014553 14.50623411367346
306 1.7244967434974028e-10 5.902777777778722e-10 0.000613725535016445 "" 1 "" 1.7841801424219404e-05 1.2306687973418055e-05 -142.16899898083102 6.292630362689022e-06 0 4.273347750018179 "" 290.9325758165957 14.50649343701496
307 2.008693914296791e-10 6.809413580248002e-10 0.0007680835812331564 "" 1 "" 1.8954930381961805e-05 1.3493017465213992e-05 -164.40895042766687 6.791378166116389e-06 1 4.5961770853805755 "" 290.93261188257986 14.506498846833734
308 2.236982493246637e-09 7.405478395062912e-09 0.010976017360590461 "" 1 "" 5.898627325098981e-05 4.828687938511068e-05 -154.59881193819612 2.2663778906205515e-05 1 17.186701044978317 "" 290.9326725479112 14.506860438840864
600 1.17542164659145e-09 2.773611111110889e-09 "" 0.02207495392802104 "" 1 6.109833101616157e-05 2.449524850576455e-05 112.04939900598289 1.6428498573614844e-05 1 "" 9.07929024898781 290.93262416981617 14.506971743062588
309 3.3800396754815335e-10 1.0378086419754747e-09 0.0010530721593518914 "" 1 "" 3.240386416429808e-05 1.3281358742077503e-05 82.74079497387781 8.809716466837998e-06 0 6.81225083394527 "" 290.9326299445535 14.506982760016017
310 1.4613300077214727e-10 5.073302469136614e-10 0.0005599595175994683 0.003561354968447742 1 1 1.8022911374594507e-05 1.0323830550948045e-05 47.18464695302183 5.792621920383133e-06 0 13.613322789804151 13.024333358198113 290.9337172926665 14.507031173866187
602 1.782313386455416e-09 4.7263888888885105e-09 "" 0.03904431534454767 "" 1 6.830709503083843e-05 3.322276431939217e-05 108.96173715688779 2.022986882247471e-05 1 "" 5.572184965502389 290.93275534409247 14.507136907552553
603 7.410461237851986e-10 1.7993055555554117e-09 "" 0.013830658431754801 "" 1 4.444612186922172e-05 2.1228967862309548e-05 90.64963419390767 1.30443863152298e-05 1 "" 5.072353190163481 290.9327777409632 14.507256070463454
604 6.928064774383861e-11 2.562499999999795e-10 "" 0.002515381833085924 "" 1 9.894715848442882e-06 8.915098070977619e-06 -155.9837922932962 3.988476172872243e-06 0 "" 13.048204607286316 290.93325404387895 14.507259820660302
