_idx _idy area_ellipse area_exact dend_flux_226GHz dend_flux_93GHz detected_226GHz detected_93GHz major_fwhm minor_fwhm position_angle radius rejected x_cen y_cen 45GHz_annulus_peak 45GHz_annulus_sum 45GHz_annulus_rms 45GHz_annulus_median 45GHz_annulus_npix 226GHz_ellipse_peak 226GHz_ellipse_sum 226GHz_ellipse_rms 226GHz_ellipse_median 226GHz_ellipse_npix 93GHz_ellipse_peak 93GHz_ellipse_sum 93GHz_ellipse_rms 93GHz_ellipse_median 93GHz_ellipse_npix 45GHz_ellipse_peak 45GHz_ellipse_sum 45GHz_ellipse_rms 45GHz_ellipse_median 45GHz_ellipse_npix
226000 0 1.1618809202257402e-09 2.6881944444442296e-09 0.0216745204246657 "" 1 "" 6.094320796988987e-05 2.4274697197868504e-05 112.36229924061479 1.633359723240518e-05 1 290.93262418373143 14.506971806033004 0.00037126419918766083 0.0026682436749835615 0.00010080498643442834 -6.2748541343859045e-06 3020.0 0.0015268169809132814 0.009767381964347266 0.0003134720337129964 0.0005211505340412259 1683.0 0.00045398008660413325 0.000876846246811382 0.00011636662385565318 0.0001706363254925236 599.0 4.307437778270708e-05 -0.00023899571550686308 3.0668615323881114e-05 -2.634447819225721e-05 149.0
226001 1 1.0975602355192169e-10 3.8541666666663584e-10 0.0034802187833753977 0.0005362579659587778 1 1 1.742323609605898e-05 9.98558206281194e-06 46.79691481339097 5.020132896892872e-06 0 290.9337172713652 14.507031260877737 0.00015238519450764507 0.0005206666064875871 4.056261887726299e-05 4.74811723481502e-06 1836.0 0.0013806633651256561 0.0016824978192142425 0.0002819591015072842 0.0008450960740447044 199.0 0.0004483229131437838 0.00020513552896139723 6.2724831494281e-05 0.00037714975769631565 71.0 9.010523205972268e-05 5.507792475948006e-05 1.882022098486155e-05 5.5817583151085e-05 19.0
226002 2 1.7538711417707271e-09 4.587499999999633e-09 0.038393612445000266 "" 1 "" 6.781863389565283e-05 3.2928060977726355e-05 109.26168814596397 2.0067805045975032e-05 1 290.9327553587353 14.507137042711516 0.00010589292642622036 -0.0035242637685604485 4.282010839853462e-05 -2.0493669418175035e-05 3188.0 0.0009901801822707057 0.016234881935647566 0.00014097527965622095 0.000657289638184011 2517.0 0.0002757096372079104 0.0004393056310549173 8.190877037389437e-05 4.3726871808758005e-05 909.0 6.416155131805685e-05 -0.00031569397786198954 4.5460290601155615e-05 -2.3385695947840386e-05 223.0
226003 3 7.191976547486632e-10 1.7312499999998614e-09 0.013511906477139944 "" 1 "" 4.4457541869094745e-05 2.0597775897929222e-05 91.0934491249093 1.2850652015771551e-05 1 290.93277772962637 14.50725607041403 0.00016447568817505912 -0.000905576552229763 6.350558466996955e-05 -5.579511731041116e-06 2572.0 0.0012411788338795304 0.005855274555869058 0.00020882786616664093 0.0005357953486964107 1035.0 0.00041832998977042735 0.00027726580295668287 0.00013712655178257035 2.0520543330349028e-05 371.0 8.103109622977258e-05 -1.606785120893777e-05 3.281952999527681e-05 -7.1823663682533645e-06 89.0
226004 4 6.642318349839736e-11 2.437499999999805e-10 0.002457044969325158 "" 1 "" 9.774163360346992e-06 8.652818726241408e-06 -159.199138399932 3.905358216142557e-06 0 290.93325403192387 14.507259904782071 0.00014151132104343913 0.0008727713099962301 3.72057770547157e-05 9.575234710634279e-06 1636.0 0.001366203767247498 0.0010711387878651944 0.00015367115624839546 0.0010936392936855555 99.0 0.00019214775238651782 4.364345999566561e-05 2.4884013254895917e-05 0.00015707647253293544 35.0 -1.6716538584077002e-05 -1.0086637120694472e-05 4.001105588895434e-06 -2.2542590060533748e-05 9.0
226005 5 9.91484205102088e-11 3.138888888888638e-10 0.0026684116246301188 "" 1 "" 1.3841942539873498e-05 9.12024007078204e-06 58.85095563494338 4.771379191228111e-06 1 290.932807658191 14.507305716286536 0.00016447568817505912 0.0010749999329371467 4.3759327207701945e-05 1.1349350626571638e-05 1728.0 0.001000589574687183 0.001069609926479467 0.00011535028049146904 0.0007413337007164955 143.0 0.00018785189604386687 5.290835713846409e-05 3.872454723269394e-05 0.00014158956764731556 49.0 3.585475227707977e-05 1.7780387475031452e-06 1.5805755861368526e-05 1.2453126985851402e-06 13.0
226006 6 7.344309669726464e-10 1.9708333333331756e-09 0.014818753612024246 "" 1 "" 3.7607543612767e-05 2.4865289787363725e-05 171.1652565820468 1.2986033604749096e-05 1 290.932922258928 14.507331910711876 0.00010272154421143984 -0.0011116072357996263 3.9663114368750726e-05 -8.708017169130611e-06 2376.0 0.0009028638596646488 0.0067144439709227385 0.00013584431591589605 0.000675705901812762 1061.0 1.1354109119565692e-05 -6.543715003573116e-05 2.2299362292190935e-05 -1.7879303413792513e-05 385.0 9.267215412264235e-05 6.825430127544204e-05 3.768127711083022e-05 9.768760339308039e-06 95.0
226008 7 4.1830022867406705e-10 1.6923611111109756e-09 0.04080231275115293 0.006064568893402501 1 1 2.7666816238763326e-05 2.420324358179808e-05 161.47440763497337 9.800428919597918e-06 0 290.93274645501515 14.507377666950305 0.000140889039251543 0.00042357906077860854 4.809725606523293e-05 2.425512277626877e-06 2092.0 0.005099964328110218 0.023496496856460963 0.0010096446246819222 0.003101794980466366 757.0 0.0023182558361440897 0.0030908904546471812 0.0004456042093230592 0.0014158687554299831 267.0 0.00029539067343620543 0.00041272260038305785 6.793633550164485e-05 9.36412921739713e-05 67.0
226010 8 2.0334249869346097e-10 6.041666666666183e-10 0.008100725186999093 "" 1 "" 2.1381362492260158e-05 1.210905611674917e-05 114.54378330317199 6.83305804779188e-06 1 290.9328069856382 14.507417828103847 0.00029539067343620543 -0.00029896883450181573 5.261437273582462e-05 -7.350439629788641e-06 1940.0 0.0015449989587068558 0.0034140961563555484 0.00021671326122577582 0.0011896571377292275 295.0 0.0005260655307210982 0.00035963416629907695 8.074071347768372e-05 0.0004485979734454304 107.0 5.325658070739464e-05 1.2220424001984078e-05 1.6093129850762785e-05 6.950022482437842e-06 27.0
226011 9 4.5212789390970683e-10 1.103472222222134e-09 0.013494686883875631 "" 1 "" 3.1758979815063384e-05 1.8126429684784056e-05 -158.51899742162823 1.0189002831926142e-05 1 290.93275778920446 14.50743069822004 0.00025125990298434354 0.0008370204608809958 4.5764507861786396e-05 2.9791410264080826e-06 2204.0 0.0011586814653128386 0.005960244359272451 0.00011067602715931939 0.0009319887612946332 657.0 0.0003727494622580707 0.0006043773556659438 2.751652619031134e-05 0.0003188453847542405 237.0 7.727260216131078e-05 3.888580320666905e-05 3.752185415188031e-05 9.24725132994104e-06 61.0
